rank,lpn_id,gender,dob,score,BWT_value,BWT_accuracy,BWT_contribution,WWT_value,WWT_accuracy,WWT_contribution,YWT_value,YWT_accuracy,YWT_contribution,PWWT_value,PWWT_accuracy,PWWT_contribution,NLB_value,NLB_accuracy,NLB_contribution
1,6401492025FLE087,Female,2025-03-02,11.91,0.352,63,-0.222,3.069,61,3.744,5.726,53,4.552,5.898,64,3.775,0.132,44,0.058
2,6401492020FLE249,Female,2020-02-05,10.92,0.243,74,-0.180,3.039,71,4.315,3.550,63,3.355,4.611,73,3.366,0.116,57,0.066
3,6401492025FLE082,Female,2025-02-28,9.95,0.334,65,-0.217,2.694,63,3.394,4.383,55,3.616,4.784,65,3.110,0.113,45,0.051
4,6401492025FLE047,Female,2025-02-24,9.89,0.432,59,-0.255,2.948,57,3.361,5.038,49,3.703,5.104,60,3.062,0.042,36,0.015
5,6401492025FLE024,Female,2025-02-20,9.42,0.471,60,-0.283,2.839,58,3.293,4.580,49,3.366,4.991,60,2.995,0.124,36,0.045
6,6401492025FLE008,Female,2025-02-16,9.06,0.170,62,-0.105,2.722,61,3.321,3.656,53,2.907,4.552,63,2.868,0.168,44,0.074
7,6401492025FLE029,Female,2025-02-21,7.39,0.177,58,-0.103,2.128,56,2.383,3.645,49,2.679,4.043,59,2.385,0.116,41,0.048
8,6401492025FLE011,Female,2025-02-17,6.56,0.000,61,-0.000,2.190,59,2.584,2.235,52,1.743,3.523,61,2.149,0.178,45,0.080
9,6402382024NCS310,Male,2024-02-13,4.74,-0.231,80,0.185,1.231,78,1.920,1.002,68,1.022,1.942,80,1.554,0.104,55,0.057
10,6401492025FLE141,Male,2025-02-24,4.26,0.266,61,-0.162,1.265,59,1.493,2.129,47,1.501,2.479,58,1.438,-0.016,38,-0.006
11,6401492023FLE078,Female,2023-02-21,3.25,0.305,64,-0.195,1.611,62,1.998,0.643,52,0.502,1.592,61,0.971,-0.052,50,-0.026
12,6401492022FLE002,Female,2022-01-23,-1.61,-0.176,66,0.116,-0.016,64,-0.020,-1.363,55,-1.124,-0.917,66,-0.605,0.055,50,0.028
